,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,AVGTrainTime,F1Score,TestAcc,EpochsRan
51,3,1024,1024,768,0.25,2,0 days 00:00:00.057328,0 days 00:00:20.677838,85.8,85.0,29
52,3,1024,1024,768,0.25,3,0 days 00:00:00.057328,0 days 00:00:29.483110,90.6,90.4,48
53,3,1024,1024,768,0.25,5,0 days 00:00:00.057328,0 days 00:00:29.809405,91.8,91.4,47
54,3,2048,256,64,0.75,2,0 days 00:00:00.086435,0 days 00:00:32.308790,81.8,81.8,44
55,3,2048,256,64,0.75,3,0 days 00:00:00.086435,0 days 00:00:18.440323,85.0,85.0,26
56,3,2048,256,64,0.75,5,0 days 00:00:00.086435,0 days 00:00:16.929515,74.8,80.2,24
57,3,2048,256,128,0.5,2,0 days 00:00:00.071049,0 days 00:00:33.790856,82.8,82.2,45
58,3,2048,256,128,0.5,3,0 days 00:00:00.071049,0 days 00:00:28.343976,86.6,85.0,39
59,3,2048,256,128,0.5,5,0 days 00:00:00.071049,0 days 00:00:23.164829,86.8,86.0,30
60,3,2048,256,192,0.25,2,0 days 00:00:00.067815,0 days 00:00:28.050244,83.0,82.8,40
61,3,2048,256,192,0.25,3,0 days 00:00:00.067815,0 days 00:00:25.147311,85.4,84.6,32
62,3,2048,256,192,0.25,5,0 days 00:00:00.067815,0 days 00:00:19.295177,86.2,85.6,25
63,3,2048,512,128,0.75,2,0 days 00:00:00.072198,0 days 00:00:22.145293,84.2,82.4,32
64,3,2048,512,128,0.75,3,0 days 00:00:00.072198,0 days 00:00:30.857380,85.4,85.0,38
65,3,2048,512,128,0.75,5,0 days 00:00:00.072198,0 days 00:00:19.227472,87.6,86.6,23
66,3,2048,512,256,0.5,2,0 days 00:00:00.066816,0 days 00:00:30.245276,86.2,85.4,33
67,3,2048,512,256,0.5,3,0 days 00:00:00.066816,0 days 00:00:26.977470,87.2,86.4,33
68,3,2048,512,256,0.5,5,0 days 00:00:00.066816,0 days 00:00:18.577140,88.8,88.4,24
69,3,2048,512,384,0.25,2,0 days 00:00:00.062330,0 days 00:00:26.867370,84.8,84.6,34
70,3,2048,512,384,0.25,3,0 days 00:00:00.062330,0 days 00:00:22.324535,88.6,87.6,33
71,3,2048,512,384,0.25,5,0 days 00:00:00.062330,0 days 00:00:26.570642,90.6,90.2,44
72,3,2048,1024,256,0.75,2,0 days 00:00:00.064786,0 days 00:00:26.204449,87.4,86.8,32
73,3,2048,1024,256,0.75,3,0 days 00:00:00.064786,0 days 00:00:24.376178,86.0,85.8,35
74,3,2048,1024,256,0.75,5,0 days 00:00:00.064786,0 days 00:00:29.502962,89.2,88.8,46
75,3,2048,1024,512,0.5,2,0 days 00:00:00.061116,0 days 00:00:19.483487,86.0,85.0,28
76,3,2048,1024,512,0.5,3,0 days 00:00:00.061116,0 days 00:00:36.383056,90.0,89.6,51
77,3,2048,1024,512,0.5,5,0 days 00:00:00.061116,0 days 00:00:40.496525,93.4,93.2,61
78,3,2048,1024,768,0.25,2,0 days 00:00:00.059357,0 days 00:00:24.462961,86.8,85.6,33
79,3,2048,1024,768,0.25,3,0 days 00:00:00.059357,0 days 00:00:26.077914,86.0,84.2,34
80,3,2048,1024,768,0.25,5,0 days 00:00:00.059357,0 days 00:00:41.522155,91.8,91.8,62
81,3,2048,2048,512,0.75,2,0 days 00:00:00.060035,0 days 00:00:27.248979,87.0,86.2,32
82,3,2048,2048,512,0.75,3,0 days 00:00:00.060035,0 days 00:00:36.955907,89.4,88.6,44
83,3,2048,2048,512,0.75,5,0 days 00:00:00.060035,0 days 00:00:51.970030,94.2,94.2,72
84,3,2048,2048,1024,0.5,2,0 days 00:00:00.058638,0 days 00:00:18.358679,86.2,85.4,26
85,3,2048,2048,1024,0.5,3,0 days 00:00:00.058638,0 days 00:00:58.783281,91.0,91.0,69
86,3,2048,2048,1024,0.5,5,0 days 00:00:00.058638,0 days 00:01:02.483736,93.8,94.0,74
87,3,2048,2048,1536,0.25,2,0 days 00:00:00.058642,0 days 00:00:33.711049,86.6,85.6,46
88,3,2048,2048,1536,0.25,3,0 days 00:00:00.058642,0 days 00:01:07.954856,92.8,93.0,75
89,3,2048,2048,1536,0.25,5,0 days 00:00:00.058642,0 days 00:01:18.920105,95.0,95.2,77
90,3,4096,256,64,0.75,2,0 days 00:00:00.115346,0 days 00:00:31.504238,82.8,82.8,39
91,3,4096,256,64,0.75,3,0 days 00:00:00.115346,0 days 00:00:30.676717,86.8,86.2,30
92,3,4096,256,64,0.75,5,0 days 00:00:00.115346,0 days 00:00:21.052637,87.6,87.0,31
93,3,4096,256,128,0.5,2,0 days 00:00:00.089333,0 days 00:00:27.716205,79.6,81.6,31
94,3,4096,256,128,0.5,3,0 days 00:00:00.089333,0 days 00:00:32.767338,86.2,85.8,36
95,3,4096,256,128,0.5,5,0 days 00:00:00.089333,0 days 00:00:24.872030,88.4,87.6,32
96,3,4096,256,192,0.25,2,0 days 00:00:00.081539,0 days 00:00:26.715342,78.4,81.2,30
97,3,4096,256,192,0.25,3,0 days 00:00:00.081539,0 days 00:00:30.897145,88.0,87.0,34
98,3,4096,256,192,0.25,5,0 days 00:00:00.081539,0 days 00:00:21.066267,88.0,87.2,25
99,3,4096,512,128,0.75,2,0 days 00:00:00.090201,0 days 00:00:40.589156,81.2,81.0,44
100,3,4096,512,128,0.75,3,0 days 00:00:00.090201,0 days 00:00:33.110856,88.4,88.0,40
101,3,4096,512,128,0.75,5,0 days 00:00:00.090201,0 days 00:00:33.275133,87.2,86.2,47
102,3,4096,512,256,0.5,2,0 days 00:00:00.074260,0 days 00:00:31.241492,86.0,85.2,35
103,3,4096,512,256,0.5,3,0 days 00:00:00.074260,0 days 00:00:31.534202,86.8,85.8,35
104,3,4096,512,256,0.5,5,0 days 00:00:00.074260,0 days 00:00:35.579792,90.2,89.8,45
105,3,4096,512,384,0.25,2,0 days 00:00:00.070050,0 days 00:00:24.981201,85.4,84.4,28
106,3,4096,512,384,0.25,3,0 days 00:00:00.070050,0 days 00:00:22.925900,88.8,87.8,25
