,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
51,3,1024,1024,768,0.25,2,0 days 00:00:00.057328,0 days 00:00:25.883665,89.0,88.0,29
52,3,1024,1024,768,0.25,3,0 days 00:00:00.057328,0 days 00:00:39.031555,94.0,94.0,63
53,3,1024,1024,768,0.25,5,0 days 00:00:00.057328,0 days 00:00:36.404429,96.0,96.0,67
54,3,2048,256,64,0.75,2,0 days 00:00:00.086435,0 days 00:00:29.770958,84.0,84.0,45
55,3,2048,256,64,0.75,3,0 days 00:00:00.086435,0 days 00:00:34.999379,87.0,87.0,36
56,3,2048,256,64,0.75,5,0 days 00:00:00.086435,0 days 00:00:13.576516,88.0,87.0,21
57,3,2048,256,128,0.5,2,0 days 00:00:00.071049,0 days 00:00:26.743902,85.0,83.0,43
58,3,2048,256,128,0.5,3,0 days 00:00:00.071049,0 days 00:00:30.375695,90.0,89.0,33
59,3,2048,256,128,0.5,5,0 days 00:00:00.071049,0 days 00:00:20.541143,89.0,88.0,29
60,3,2048,256,192,0.25,2,0 days 00:00:00.067815,0 days 00:00:31.015106,85.0,84.0,35
61,3,2048,256,192,0.25,3,0 days 00:00:00.067815,0 days 00:00:20.276687,88.0,88.0,31
62,3,2048,256,192,0.25,5,0 days 00:00:00.067815,0 days 00:00:18.844447,88.0,88.0,28
63,3,2048,512,128,0.75,2,0 days 00:00:00.072198,0 days 00:00:29.081211,88.0,87.0,42
64,3,2048,512,128,0.75,3,0 days 00:00:00.072198,0 days 00:00:31.042470,89.0,88.0,33
65,3,2048,512,128,0.75,5,0 days 00:00:00.072198,0 days 00:00:18.623630,89.0,89.0,23
66,3,2048,512,256,0.5,2,0 days 00:00:00.066816,0 days 00:00:33.228672,89.0,88.0,35
67,3,2048,512,256,0.5,3,0 days 00:00:00.066816,0 days 00:00:24.324089,89.0,88.0,30
68,3,2048,512,256,0.5,5,0 days 00:00:00.066816,0 days 00:00:20.464338,89.0,89.0,23
69,3,2048,512,384,0.25,2,0 days 00:00:00.062330,0 days 00:00:27.774181,89.0,89.0,30
70,3,2048,512,384,0.25,3,0 days 00:00:00.062330,0 days 00:00:22.538483,89.0,88.0,27
71,3,2048,512,384,0.25,5,0 days 00:00:00.062330,0 days 00:00:41.665439,96.0,96.0,76
72,3,2048,1024,256,0.75,2,0 days 00:00:00.064786,0 days 00:00:33.110879,89.0,88.0,31
73,3,2048,1024,256,0.75,3,0 days 00:00:00.064786,0 days 00:00:39.177833,91.0,91.0,62
74,3,2048,1024,256,0.75,5,0 days 00:00:00.064786,0 days 00:00:50.399556,93.0,93.0,80
75,3,2048,1024,512,0.5,2,0 days 00:00:00.061116,0 days 00:00:15.876357,89.0,88.0,30
76,3,2048,1024,512,0.5,3,0 days 00:00:00.061116,0 days 00:00:55.481488,95.0,95.0,79
77,3,2048,1024,512,0.5,5,0 days 00:00:00.061116,0 days 00:00:39.458834,95.0,95.0,61
78,3,2048,1024,768,0.25,2,0 days 00:00:00.059357,0 days 00:00:26.871160,89.0,89.0,34
79,3,2048,1024,768,0.25,3,0 days 00:00:00.059357,0 days 00:01:09.480408,92.0,91.0,80
