,NMFCC,Nfft,NwinL,NhopL,Overlap,Ksize,AVGPreprocesTime,TrainTime,F1Score,TestAcc,EpochsRan
51,3,1024,1024,768,0.25,2,0 days 00:00:00.065881,0 days 00:00:15.189899,45.0,59.0,31
52,3,1024,1024,768,0.25,3,0 days 00:00:00.065881,0 days 00:00:45.915979,69.0,73.0,61
53,3,1024,1024,768,0.25,5,0 days 00:00:00.065881,0 days 00:00:54.023637,70.0,74.0,80
54,3,2048,256,64,0.75,2,0 days 00:00:00.116590,0 days 00:00:39.411717,72.0,66.0,44
55,3,2048,256,64,0.75,3,0 days 00:00:00.116590,0 days 00:00:27.773131,73.0,73.0,33
56,3,2048,256,64,0.75,5,0 days 00:00:00.116590,0 days 00:00:54.310668,67.0,70.0,52
57,3,2048,256,128,0.5,2,0 days 00:00:00.088955,0 days 00:00:37.251346,70.0,70.0,45
58,3,2048,256,128,0.5,3,0 days 00:00:00.088955,0 days 00:00:38.385402,68.0,71.0,36
59,3,2048,256,128,0.5,5,0 days 00:00:00.088955,0 days 00:01:00.424324,76.0,73.0,62
60,3,2048,256,192,0.25,2,0 days 00:00:00.081298,0 days 00:00:27.437582,57.99999999999999,67.0,40
61,3,2048,256,192,0.25,3,0 days 00:00:00.081298,0 days 00:00:12.993567,69.0,59.0,23
62,3,2048,256,192,0.25,5,0 days 00:00:00.081298,0 days 00:01:10.233624,75.0,77.0,80
63,3,2048,512,128,0.75,2,0 days 00:00:00.089973,0 days 00:00:24.295636,71.0,65.0,36
64,3,2048,512,128,0.75,3,0 days 00:00:00.089973,0 days 00:00:50.424635,50.0,64.0,58
65,3,2048,512,128,0.75,5,0 days 00:00:00.089973,0 days 00:00:47.897188,67.0,72.0,47
66,3,2048,512,256,0.5,2,0 days 00:00:00.077440,0 days 00:00:06.425155,68.0,56.99999999999999,13
67,3,2048,512,256,0.5,3,0 days 00:00:00.077440,0 days 00:01:09.033614,68.0,73.0,70
68,3,2048,512,256,0.5,5,0 days 00:00:00.077440,0 days 00:00:54.753549,76.0,77.0,66
69,3,2048,512,384,0.25,2,0 days 00:00:00.071951,0 days 00:00:44.283070,74.0,76.0,39
70,3,2048,512,384,0.25,3,0 days 00:00:00.071951,0 days 00:01:05.868295,56.00000000000001,67.0,79
71,3,2048,512,384,0.25,5,0 days 00:00:00.071951,0 days 00:00:59.716203,76.0,77.0,75
72,3,2048,1024,256,0.75,2,0 days 00:00:00.075878,0 days 00:00:39.218412,51.0,62.0,40
73,3,2048,1024,256,0.75,3,0 days 00:00:00.075878,0 days 00:00:32.856461,69.0,73.0,41
74,3,2048,1024,256,0.75,5,0 days 00:00:00.075878,0 days 00:00:55.458174,78.0,76.0,65
75,3,2048,1024,512,0.5,2,0 days 00:00:00.068277,0 days 00:00:33.062019,52.0,66.0,42
76,3,2048,1024,512,0.5,3,0 days 00:00:00.068277,0 days 00:00:21.207533,61.0,70.0,24
77,3,2048,1024,512,0.5,5,0 days 00:00:00.068277,0 days 00:00:52.716998,72.0,72.0,54
78,3,2048,1024,768,0.25,2,0 days 00:00:00.069176,0 days 00:00:35.911044,68.0,73.0,50
79,3,2048,1024,768,0.25,3,0 days 00:00:00.069176,0 days 00:00:50.739417,61.0,69.0,50
80,3,2048,1024,768,0.25,5,0 days 00:00:00.069176,0 days 00:01:08.497982,72.0,75.0,78
81,3,2048,2048,512,0.75,2,0 days 00:00:00.070994,0 days 00:00:33.280922,55.00000000000001,67.0,34
82,3,2048,2048,512,0.75,3,0 days 00:00:00.070994,0 days 00:00:39.515121,51.0,65.0,42
83,3,2048,2048,512,0.75,5,0 days 00:00:00.070994,0 days 00:00:43.178567,70.0,74.0,50
84,3,2048,2048,1024,0.5,2,0 days 00:00:00.067593,0 days 00:00:38.820485,49.0,65.0,45
85,3,2048,2048,1024,0.5,3,0 days 00:00:00.067593,0 days 00:00:40.529673,61.0,68.0,41
86,3,2048,2048,1024,0.5,5,0 days 00:00:00.067593,0 days 00:00:33.561218,71.0,71.0,40
87,3,2048,2048,1536,0.25,2,0 days 00:00:00.065353,0 days 00:00:48.330657,61.0,69.0,52
88,3,2048,2048,1536,0.25,3,0 days 00:00:00.065353,0 days 00:00:50.546921,70.0,73.0,61
89,3,2048,2048,1536,0.25,5,0 days 00:00:00.065353,0 days 00:00:40.799410,69.0,73.0,42
90,3,4096,256,64,0.75,2,0 days 00:00:00.154425,0 days 00:00:27.181858,74.0,70.0,30
91,3,4096,256,64,0.75,3,0 days 00:00:00.154425,0 days 00:01:10.300892,66.0,70.0,66
92,3,4096,256,64,0.75,5,0 days 00:00:00.154425,0 days 00:01:13.973807,75.0,72.0,65
93,3,4096,256,128,0.5,2,0 days 00:00:00.124200,0 days 00:01:34.927132,77.0,77.0,80
94,3,4096,256,128,0.5,3,0 days 00:00:00.124200,0 days 00:01:10.432078,75.0,73.0,80
95,3,4096,256,128,0.5,5,0 days 00:00:00.124200,0 days 00:01:22.578519,78.0,74.0,80
96,3,4096,256,192,0.25,2,0 days 00:00:00.109358,0 days 00:00:06.267255,69.0,59.0,12
97,3,4096,256,192,0.25,3,0 days 00:00:00.109358,0 days 00:01:19.044054,75.0,73.0,80
98,3,4096,256,192,0.25,5,0 days 00:00:00.109358,0 days 00:00:33.505465,76.0,72.0,40
99,3,4096,512,128,0.75,2,0 days 00:00:00.124705,0 days 00:00:36.200454,60.0,66.0,42
100,3,4096,512,128,0.75,3,0 days 00:00:00.124705,0 days 00:01:28.657474,66.0,71.0,78
101,3,4096,512,128,0.75,5,0 days 00:00:00.124705,0 days 00:00:55.759522,76.0,74.0,50
102,3,4096,512,256,0.5,2,0 days 00:00:00.096706,0 days 00:01:15.394532,73.0,75.0,80
103,3,4096,512,256,0.5,3,0 days 00:00:00.096706,0 days 00:01:25.614221,75.0,75.0,80
104,3,4096,512,256,0.5,5,0 days 00:00:00.096706,0 days 00:00:54.843862,77.0,75.0,52
105,3,4096,512,384,0.25,2,0 days 00:00:00.089449,0 days 00:00:54.651968,61.0,68.0,57
106,3,4096,512,384,0.25,3,0 days 00:00:00.089449,0 days 00:01:19.192507,68.0,74.0,75
107,3,4096,512,384,0.25,5,0 days 00:00:00.089449,0 days 00:00:55.407062,77.0,77.0,53
108,3,4096,1024,256,0.75,2,0 days 00:00:00.096432,0 days 00:00:58.374537,67.0,71.0,60
109,3,4096,1024,256,0.75,3,0 days 00:00:00.096432,0 days 00:00:54.999267,65.0,69.0,39
110,3,4096,1024,256,0.75,5,0 days 00:00:00.096432,0 days 00:01:09.447532,78.0,78.0,66
111,3,4096,1024,512,0.5,2,0 days 00:00:00.082851,0 days 00:00:40.007389,56.00000000000001,65.0,38
112,3,4096,1024,512,0.5,3,0 days 00:00:00.082851,0 days 00:00:59.482331,74.0,74.0,48
113,3,4096,1024,512,0.5,5,0 days 00:00:00.082851,0 days 00:00:37.387455,69.0,73.0,34
114,3,4096,1024,768,0.25,2,0 days 00:00:00.077778,0 days 00:01:08.636058,62.0,70.0,61
115,3,4096,1024,768,0.25,3,0 days 00:00:00.077778,0 days 00:01:15.920026,69.0,73.0,52
116,3,4096,1024,768,0.25,5,0 days 00:00:00.077778,0 days 00:01:27.610874,77.0,78.0,80
117,3,4096,2048,512,0.75,2,0 days 00:00:00.082745,0 days 00:00:31.784328,73.0,72.0,35
118,3,4096,2048,512,0.75,3,0 days 00:00:00.082745,0 days 00:00:53.938571,68.0,72.0,47
119,3,4096,2048,512,0.75,5,0 days 00:00:00.082745,0 days 00:00:53.251263,62.0,70.0,70
120,3,4096,2048,1024,0.5,2,0 days 00:00:00.076225,0 days 00:00:45.311241,56.00000000000001,66.0,42
121,3,4096,2048,1024,0.5,3,0 days 00:00:00.076225,0 days 00:00:44.440546,63.0,68.0,42
122,3,4096,2048,1024,0.5,5,0 days 00:00:00.076225,0 days 00:00:37.287104,76.0,73.0,32
123,3,4096,2048,1536,0.25,2,0 days 00:00:00.073427,0 days 00:00:38.064289,62.0,69.0,38
124,3,4096,2048,1536,0.25,3,0 days 00:00:00.073427,0 days 00:00:53.165353,67.0,72.0,42
125,3,4096,2048,1536,0.25,5,0 days 00:00:00.073427,0 days 00:00:57.906138,76.0,75.0,53
126,3,4096,4096,1024,0.75,2,0 days 00:00:00.076286,0 days 00:00:25.613343,55.00000000000001,63.0,26
127,3,4096,4096,1024,0.75,3,0 days 00:00:00.076286,0 days 00:00:52.143667,68.0,71.0,37
128,3,4096,4096,1024,0.75,5,0 days 00:00:00.076286,0 days 00:00:54.447019,69.0,72.0,42
129,3,4096,4096,2048,0.5,2,0 days 00:00:00.073893,0 days 00:00:12.529917,70.0,71.0,18
130,3,4096,4096,2048,0.5,3,0 days 00:00:00.073893,0 days 00:00:53.323158,70.0,73.0,42
131,3,4096,4096,2048,0.5,5,0 days 00:00:00.073893,0 days 00:00:44.817781,73.0,72.0,40
132,3,4096,4096,3072,0.25,2,0 days 00:00:00.070055,0 days 00:01:37.745422,66.0,72.0,80
133,3,4096,4096,3072,0.25,3,0 days 00:00:00.070055,0 days 00:01:12.577493,62.0,69.0,45
134,3,4096,4096,3072,0.25,5,0 days 00:00:00.070055,0 days 00:01:00.123431,73.0,77.0,73
135,6,256,256,64,0.75,2,0 days 00:00:00.345735,0 days 00:00:33.789068,79.0,77.0,44
136,6,256,256,64,0.75,3,0 days 00:00:00.345735,0 days 00:01:14.130523,83.0,83.0,80
137,6,256,256,64,0.75,5,0 days 00:00:00.345735,0 days 00:01:22.564010,81.0,80.0,80
138,6,256,256,128,0.5,2,0 days 00:00:00.067829,0 days 00:00:56.453501,83.0,84.0,80
139,6,256,256,128,0.5,3,0 days 00:00:00.067829,0 days 00:00:43.503549,79.0,82.0,63
140,6,256,256,128,0.5,5,0 days 00:00:00.067829,0 days 00:00:32.329856,80.0,80.0,50
141,6,256,256,192,0.25,2,0 days 00:00:00.066580,0 days 00:00:18.371903,79.0,78.0,23
142,6,256,256,192,0.25,3,0 days 00:00:00.066580,0 days 00:01:02.216357,83.0,84.0,80
143,6,256,256,192,0.25,5,0 days 00:00:00.066580,0 days 00:01:08.608359,85.0,86.0,80
144,6,512,256,64,0.75,2,0 days 00:00:00.079018,0 days 00:01:03.308379,79.0,82.0,75
145,6,512,256,64,0.75,3,0 days 00:00:00.079018,0 days 00:01:22.543876,84.0,85.0,80
